time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002258,-0.0161,0.1200,-0.0398,0.127
0.010857,-0.0188,0.0873,-0.0038,0.089
0.015663,-0.0265,0.0978,0.0632,0.119
0.024103,-0.0526,0.0816,0.0465,0.108
0.032017,-0.0397,0.0625,0.0153,0.076
0.039853,-0.0287,0.0245,0.0273,0.047
0.048077,-0.0157,-0.0249,0.0297,0.042
0.056323,-0.0147,-0.0524,0.0632,0.083
0.064736,-0.0044,-0.0773,0.0824,0.113
0.072866,-0.0061,-0.0954,0.0584,0.112
0.081062,-0.0202,-0.1044,0.0058,0.106
0.089451,-0.0271,-0.0916,0.0010,0.096
0.097690,-0.0533,-0.0710,0.0010,0.089
0.105703,-0.0364,-0.0453,0.0130,0.060
0.114192,-0.0243,-0.0195,0.0489,0.058
0.122076,-0.0145,-0.0159,0.0944,0.097
0.130419,0.0095,-0.0128,0.0729,0.075
0.138263,0.0267,-0.0077,0.0896,0.094
0.146936,0.0204,-0.0056,0.0992,0.101
0.155132,0.0402,0.0032,0.0849,0.094
0.163149,0.0479,0.0048,0.0610,0.078
0.171427,0.0559,0.0301,0.0347,0.072
0.180339,0.0522,0.0318,-0.0180,0.064
0.187764,0.0394,0.0412,-0.0012,0.057
0.196063,0.0102,0.0605,-0.0347,0.070
0.203952,-0.0019,0.0297,-0.0276,0.041
0.212555,0.0127,0.0378,-0.0036,0.040
0.220578,0.0153,0.0079,0.0538,0.057
0.228660,0.0106,-0.0032,0.1017,0.102
0.236768,0.0082,-0.0199,0.0658,0.069
0.245388,0.0104,-0.0204,-0.0371,0.044
0.253427,0.0172,-0.0256,-0.0874,0.093
0.261645,0.0380,0.0032,-0.0682,0.078
0.269788,0.0177,0.0224,0.0443,0.053
0.277975,0.0037,0.0291,0.0731,0.079
0.285967,-0.0006,0.0400,-0.1376,0.143
0.294224,-0.0108,0.0589,-0.3338,0.339
0.302663,-0.0598,0.0860,-0.0201,0.107
0.310408,-0.1265,0.1130,0.1714,0.241
0.318712,-0.1305,0.0989,0.2050,0.262
0.327158,-0.1246,0.1012,0.1116,0.195
0.335362,-0.0704,0.1128,-0.0679,0.149
0.345253,-0.0229,0.1108,-0.2451,0.270
0.352008,0.0170,0.1146,-0.2427,0.269
0.360075,0.0562,0.1221,-0.1278,0.185
0.368036,0.0775,0.1138,-0.0009,0.138
0.376562,0.0672,0.1156,0.1427,0.196
0.384346,0.0618,0.1120,0.1475,0.195
0.393565,0.0620,0.1008,0.1236,0.171
0.400882,0.0415,0.0818,0.1140,0.146
0.409654,0.0572,0.0508,0.1116,0.135
0.417526,0.0678,0.0342,0.0397,0.086
0.426412,0.0663,-0.0011,0.0110,0.067
0.433772,0.0724,-0.0315,-0.0082,0.079
0.444650,0.0662,-0.0548,-0.0417,0.096
0.449869,0.0291,-0.0875,-0.0657,0.113
0.459397,0.0137,-0.0844,-0.0609,0.105
0.466117,-0.0092,-0.1074,0.0181,0.109
0.474708,-0.0301,-0.0992,0.0803,0.131
0.482658,-0.0129,-0.1060,0.1282,0.167
0.491010,-0.0101,-0.1134,0.1042,0.154
0.499466,-0.0024,-0.1093,0.0683,0.129
0.511137,0.0175,-0.0770,0.0228,0.082
0.515672,0.0043,-0.0568,0.0013,0.057
0.528378,-0.0183,-0.0221,-0.0107,0.031
0.532032,-0.0407,0.0057,0.0037,0.041
0.540456,-0.0512,0.0385,-0.0131,0.065
0.548533,-0.0477,0.0666,0.0061,0.082
0.556729,-0.0424,0.0972,0.0061,0.106
0.565108,-0.0110,0.1088,0.0492,0.120
0.573134,0.0111,0.1155,0.0636,0.132
0.581716,0.0313,0.1033,0.0803,0.135
0.589828,0.0467,0.1008,0.1330,0.173
0.597879,0.0620,0.0552,0.1378,0.161
0.606190,0.0705,0.0315,0.1689,0.186
0.614240,0.0433,-0.0042,0.1282,0.135
0.621902,0.0471,-0.0283,0.1306,0.142
0.630570,0.0384,-0.0581,0.1042,0.125
0.638660,0.0315,-0.0667,0.0396,0.084
0.648793,0.0243,-0.0804,0.0133,0.085
0.654778,-0.0013,-0.0631,-0.0465,0.078
0.665147,-0.0235,-0.0480,-0.0705,0.088
0.672686,-0.0357,-0.0372,-0.0465,0.069
0.679924,-0.0454,-0.0186,-0.0250,0.055
0.687776,-0.0410,0.0077,-0.0441,0.061
0.702736,-0.0370,0.0253,-0.0106,0.046
0.704490,-0.0196,0.0332,0.0660,0.076
0.713186,-0.0431,0.0810,0.0947,0.132
0.720553,-0.0278,0.0201,0.0923,0.099
0.728606,-0.0191,-0.0178,0.0924,0.096
0.736476,-0.0104,-0.0112,0.0421,0.045
0.745208,0.0053,-0.0354,-0.0105,0.037
0.753246,-0.0101,-0.0330,0.0015,0.035
0.761246,0.0077,-0.0396,0.0614,0.073
0.769420,0.0013,-0.0274,0.0973,0.101
0.777817,0.0259,-0.0209,0.0830,0.089
0.785621,0.0821,0.0088,0.0160,0.084
0.794189,0.0983,0.0098,-0.0605,0.116
0.802306,0.1247,0.0379,-0.0724,0.149
0.810467,0.1152,0.0955,-0.0030,0.150
0.818809,0.0853,0.1344,0.0856,0.181
0.828169,0.0718,0.1490,0.1024,0.195
0.835472,0.0589,0.1615,0.0833,0.191
0.848993,0.0465,0.1884,0.0714,0.207
0.852408,0.0202,0.2105,0.0307,0.214
0.863976,0.0082,0.2280,0.0236,0.229
0.868069,-0.0109,0.2432,0.0332,0.246
0.879042,-0.0255,0.2513,0.0188,0.253
0.884659,-0.0404,0.2452,0.0069,0.249
0.896956,-0.0646,0.2227,0.0308,0.234
0.901291,-0.0429,0.2170,0.0333,0.224
0.912853,-0.0401,0.1810,0.0141,0.186
0.918429,-0.0396,0.1622,-0.0027,0.167
0.926748,-0.0457,0.1466,-0.0362,0.158
0.934296,-0.0395,0.1199,0.0045,0.126
0.949544,-0.0451,0.0674,0.0331,0.088
0.949904,-0.0437,0.0441,0.0283,0.068
0.959116,-0.0226,-0.0030,-0.0172,0.029
0.965933,-0.0063,-0.0642,-0.0341,0.073
0.978329,-0.0042,-0.0941,-0.0533,0.108
0.982583,0.0073,-0.1379,-0.0845,0.162
0.991017,-0.0076,-0.1311,-0.0678,0.148
0.999460,0.0016,-0.1454,-0.0391,0.151
1.012786,0.0036,-0.1574,0.0303,0.160
1.015540,0.0076,-0.1529,0.0925,0.179
1.024898,0.0059,-0.1446,0.0445,0.151
1.031732,0.0348,-0.1462,-0.0704,0.166
1.041347,0.0423,-0.1270,-0.1159,0.177
1.047898,0.0338,-0.0883,-0.1207,0.153
1.056944,0.0019,-0.0469,-0.0777,0.091
1.064644,-0.0147,-0.0144,-0.0083,0.022
1.073773,-0.0335,0.0088,0.0372,0.051
1.082309,-0.0168,-0.0038,0.0348,0.039
1.090160,-0.0391,0.0075,0.0204,0.045
1.097860,-0.0237,-0.0149,0.0276,0.039
1.106150,-0.0089,-0.0520,0.0491,0.072
1.114719,-0.0002,-0.0825,0.0347,0.089
1.122011,-0.0089,-0.0752,-0.1114,0.135
1.131190,0.0038,-0.0943,-0.2814,0.297
1.138278,-0.0218,-0.0886,-0.0900,0.128
1.146344,-0.0729,-0.0632,0.0513,0.109
1.155038,-0.0846,-0.0349,0.1255,0.155
1.164953,-0.0984,0.0006,0.1470,0.177
1.171876,-0.0743,0.0452,0.0919,0.127
1.179835,-0.0465,0.0820,-0.0757,0.121
1.187691,-0.0242,0.1120,-0.1595,0.196
1.196385,-0.0271,0.1211,-0.1500,0.195
1.204053,-0.0334,0.1165,-0.0639,0.137
1.212859,-0.0293,0.1193,0.0342,0.128
1.220853,-0.0156,0.0931,0.1276,0.159
1.229080,-0.0107,0.0776,0.1826,0.199
1.237474,0.0166,0.0346,0.1849,0.189
1.249250,0.0422,0.0126,0.1394,0.146
1.253922,0.0679,-0.0143,0.0508,0.086
1.268308,0.0768,-0.0247,0.0125,0.082
1.270102,0.1073,-0.0368,-0.0306,0.118
1.280336,0.1118,-0.0439,-0.0378,0.126
1.285795,0.0974,-0.0435,-0.0402,0.114
1.296604,0.0757,-0.0357,-0.0570,0.101
1.302363,0.0588,-0.0106,-0.0379,0.071
1.310919,0.0323,0.0196,-0.0259,0.046
1.319482,0.0148,0.0424,-0.0116,0.046
1.329061,-0.0215,0.0532,-0.0427,0.072
1.335716,-0.0359,0.0614,0.0147,0.073
1.345416,-0.0429,0.0742,0.0483,0.098
1.352497,-0.0422,0.0772,0.0435,0.098
1.365864,-0.0380,0.0679,0.0291,0.083
1.369444,-0.0476,0.0705,0.0291,0.090
1.380140,-0.0544,0.0593,0.0483,0.094
1.383953,-0.0663,0.0935,0.0411,0.122
1.396885,-0.0452,0.0749,0.0148,0.089
1.401380,-0.0436,0.0804,-0.0019,0.091
1.412773,-0.0348,0.0879,0.0220,0.097
1.417978,-0.0455,0.0880,0.0268,0.103
1.429375,-0.0606,0.0634,0.0077,0.088
1.433805,-0.0709,0.0529,0.0077,0.089
1.445075,-0.0862,0.0087,-0.0019,0.087
1.450124,-0.0721,-0.0142,0.0891,0.116
1.470219,-0.0603,-0.0445,0.1323,0.152
1.470976,-0.0189,-0.0654,0.0628,0.093
1.475586,0.0194,-0.0791,0.0054,0.082
1.483642,0.0534,-0.0808,-0.0162,0.098
1.491916,0.0918,-0.0797,-0.0066,0.122
1.499784,0.1196,-0.0736,-0.0473,0.148
1.508151,0.1474,-0.0692,-0.0736,0.179
1.516179,0.1477,-0.0259,-0.0257,0.152
1.523991,0.1441,0.0035,0.0054,0.144
1.532058,0.1238,0.0311,0.0222,0.130
1.540682,0.1228,0.0419,0.0222,0.132
1.548735,0.0813,0.0578,0.0486,0.111
1.557576,0.0543,0.0641,0.0845,0.119
1.565675,0.0220,0.0465,0.0845,0.099
1.573711,-0.0227,0.0570,0.0726,0.095
1.581961,-0.0300,0.0288,-0.0040,0.042
1.590792,-0.0132,-0.0044,-0.0543,0.056
1.598433,-0.0126,-0.0230,-0.0543,0.060
1.606123,-0.0041,-0.0559,0.0296,0.063
1.614735,0.0265,-0.0673,0.0919,0.117
1.621627,0.0425,-0.0860,0.0632,0.115
1.629600,0.0654,-0.0855,0.0225,0.110
1.637583,0.0668,-0.0806,0.0034,0.105
1.646233,0.0708,-0.0808,-0.0062,0.108
1.655029,0.0537,-0.0594,-0.0277,0.085
1.662501,0.0269,-0.0572,-0.0180,0.066
1.670504,-0.0314,-0.0504,-0.0132,0.061
1.678655,-0.0568,-0.0271,0.0012,0.063
1.686570,-0.0972,-0.0284,0.0036,0.101
1.695392,-0.1069,-0.0422,0.0347,0.120
1.703233,-0.1001,-0.0325,0.0443,0.114
1.715318,-0.1102,-0.0253,0.0443,0.121
1.719561,-0.1108,-0.0279,0.0610,0.130
1.728226,-0.0974,-0.0163,0.0514,0.111
1.737234,-0.0556,-0.0074,0.0418,0.070
1.745214,-0.0265,0.0012,0.0298,0.040
1.753267,0.0097,0.0286,0.0082,0.031
1.762060,0.0221,0.0438,-0.0038,0.049
1.769396,0.0420,0.0543,0.0082,0.069
1.780171,0.0478,0.0623,-0.0182,0.081
1.785845,0.0434,0.0629,-0.0541,0.094
1.793609,0.0270,0.0419,-0.0494,0.070
1.801597,0.0163,0.0500,-0.0183,0.056
1.810425,0.0088,0.0178,0.0655,0.068
1.818733,0.0137,0.0097,0.1325,0.134
1.826623,0.0310,-0.0346,0.1421,0.150
1.835197,0.0150,-0.0389,0.0990,0.107
1.842884,0.0297,-0.0631,0.0056,0.070
1.851004,0.0342,-0.0586,-0.0375,0.078
1.862370,0.0428,-0.0469,-0.0136,0.065
1.867633,0.0333,-0.0163,-0.0136,0.040
1.877819,0.0298,0.0191,-0.0472,0.059
1.884381,0.0403,0.0187,-0.2843,0.288
1.894525,0.0370,0.0529,-0.3227,0.329
1.901416,-0.0365,0.0958,-0.0426,0.111
1.910554,-0.1107,0.0990,0.1920,0.243
1.917589,-0.1192,0.1045,0.1466,0.216
1.928633,-0.1102,0.1023,0.1514,0.213
1.933385,-0.0676,0.0846,0.0077,0.109
1.942202,-0.0154,0.0808,-0.1407,0.163
1.950442,0.0173,0.0778,-0.1718,0.189
1.961123,0.0472,0.0499,-0.1311,0.148
1.966561,0.0433,0.0307,-0.0736,0.091
1.979610,0.0316,0.0193,0.0222,0.043
1.982912,0.0124,0.0128,0.1251,0.126
1.994858,0.0056,-0.0117,0.1850,0.185
1.999009,0.0042,-0.0424,0.1706,0.176
2.010956,0.0372,-0.0697,0.0964,0.125
2.014970,0.0225,-0.0830,0.0318,0.092
2.023367,0.0313,-0.1008,0.0175,0.107
2.031643,0.0257,-0.0992,0.0127,0.103
2.039882,0.0247,-0.0853,-0.0017,0.089
2.047777,0.0141,-0.0709,-0.0304,0.078
2.056737,0.0202,-0.0394,-0.0423,0.061
2.064938,0.0167,-0.0103,-0.0543,0.058
2.073797,0.0226,0.0189,-0.0830,0.088
2.081324,0.0211,0.0607,-0.0997,0.119
2.089415,0.0268,0.0861,-0.0973,0.133
2.097617,0.0207,0.1121,-0.0566,0.127
2.105932,0.0335,0.1168,-0.0111,0.122
2.114358,0.0341,0.1431,0.0176,0.148
2.122248,0.0344,0.1358,0.0440,0.147
2.130612,0.0443,0.1354,0.0464,0.150
2.139432,0.0445,0.1277,0.0656,0.150
2.146877,0.0397,0.1101,0.0584,0.131
2.155325,0.0295,0.0946,0.0297,0.103
2.165251,0.0354,0.0804,0.0009,0.088
2.171520,0.0244,0.0733,0.0057,0.077
2.181027,0.0158,0.0759,0.0129,0.079
2.187965,-0.0213,0.0620,0.0153,0.067
2.195887,-0.0271,0.0604,0.0200,0.069
2.204404,-0.0161,0.0614,0.0248,0.068
2.213927,-0.0316,0.0598,0.0104,0.068
2.221829,-0.0226,0.0414,0.1828,0.189
2.228742,-0.0236,0.0150,0.1397,0.142
2.237405,0.0127,-0.0187,0.0056,0.023
2.246426,0.0277,-0.0068,-0.0231,0.037
2.253536,0.0384,-0.0186,-0.0447,0.062
2.265549,0.0418,-0.0036,-0.1740,0.179
2.269925,0.0328,0.0002,-0.1740,0.177
2.286266,-0.0096,0.0387,-0.1046,0.112
2.287041,-0.0470,0.0688,-0.0327,0.090
2.293677,-0.0772,0.0706,0.0128,0.105
2.302503,-0.0766,0.0822,0.0846,0.141
2.311405,-0.0851,0.0673,0.1038,0.150
2.319220,-0.0549,0.0399,0.1206,0.138
2.327831,-0.0291,0.0122,0.1110,0.115
2.335291,-0.0060,-0.0350,0.0775,0.085
2.345084,0.0078,-0.0678,0.0441,0.081
2.351530,0.0526,-0.0937,0.0201,0.109
2.364223,0.0879,-0.1006,0.0345,0.138
2.367601,0.0972,-0.1290,0.0633,0.173
2.382335,0.0878,-0.1219,0.0681,0.165
2.384440,0.0859,-0.1222,0.0466,0.156
2.394239,0.0817,-0.1108,-0.0013,0.138
2.401075,0.0607,-0.1066,0.0179,0.124
2.411772,0.0372,-0.0882,0.0227,0.098
2.416963,0.0278,-0.0846,0.0275,0.093
2.428577,-0.0036,-0.0785,0.0132,0.080
2.433677,-0.0163,-0.0556,-0.0156,0.060
2.445356,-0.0314,-0.0356,-0.0036,0.048
