time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001983,0.0491,0.0177,0.0143,0.054
0.011514,0.0731,-0.0159,0.0188,0.077
0.018211,0.0784,-0.0302,0.0348,0.091
0.028529,0.0383,-0.0662,0.0242,0.080
0.033822,0.0149,-0.1069,0.0038,0.108
0.042922,0.0077,-0.1285,-0.0025,0.129
0.050969,-0.0021,-0.0926,-0.0117,0.093
0.059780,-0.0049,-0.0854,0.0144,0.087
0.067442,-0.0415,-0.0854,0.0860,0.128
0.076266,0.0152,-0.0806,0.1343,0.157
0.083808,0.0218,-0.0615,0.1502,0.164
0.093193,0.0123,-0.0327,0.1415,0.146
0.099501,0.0130,-0.0255,0.1512,0.154
0.109986,-0.0312,-0.0183,0.0210,0.042
0.116428,-0.0604,-0.0446,-0.2110,0.224
0.128739,-0.0584,-0.0972,-0.2974,0.318
0.132751,-0.0449,-0.0660,-0.1247,0.148
0.141078,0.0944,-0.0110,0.1902,0.213
0.149054,0.0873,-0.0277,0.3593,0.371
0.157684,-0.0174,-0.0228,0.2473,0.249
0.165509,-0.1287,-0.0515,-0.0017,0.139
0.173910,-0.1701,-0.0658,-0.0945,0.205
0.181513,-0.0314,-0.0777,0.1572,0.178
0.190588,-0.2287,-0.0514,-0.0946,0.253
0.198282,-0.2535,-0.0586,0.0426,0.264
0.206838,-0.0987,-0.0992,-0.0118,0.140
0.214509,0.0129,-0.1087,-0.0866,0.140
0.222215,0.0655,-0.0440,-0.0613,0.100
0.231005,0.0931,-0.0319,0.0397,0.106
0.239154,0.0517,-0.0174,0.0628,0.083
0.247588,-0.0013,0.0138,0.0802,0.081
0.255421,0.0839,0.0090,-0.0089,0.085
0.263443,0.2574,0.0570,-0.1544,0.306
0.272345,0.1768,0.1384,-0.3420,0.409
0.280111,0.0292,0.0235,-0.2817,0.284
0.288113,-0.3303,0.0641,-0.2253,0.405
0.296553,-0.4072,-0.2975,0.1674,0.531
0.304428,-0.2136,0.0233,0.1516,0.263
0.313024,0.0593,0.1430,-0.0115,0.155
0.321302,0.0453,-0.0485,0.1184,0.136
0.329866,-0.0673,-0.0629,0.0547,0.107
0.337763,-0.0632,-0.0031,-0.0499,0.081
0.345886,0.0187,0.0089,-0.0008,0.021
0.353968,-0.0135,0.0233,0.0411,0.049
0.362958,-0.0645,0.0687,0.0604,0.112
0.370850,-0.0676,0.0113,0.1146,0.134
0.379173,-0.0489,-0.0175,0.1637,0.172
0.386797,-0.0278,0.0351,0.0789,0.091
0.395433,-0.0027,-0.0152,-0.0651,0.067
